央视频道-,#genre#
山东卫视,http://iptv.4666888.xyz/iptv2A.php?id=山东卫视
海南卫视,http://iptv.4666888.xyz/iptv2A.php?id=海南卫视
广西卫视,http://iptv.4666888.xyz/iptv2A.php?id=广西卫视
辽宁卫视,http://iptv.4666888.xyz/iptv2A.php?id=辽宁卫视
安徽卫视,http://iptv.4666888.xyz/iptv2A.php?id=安徽卫视
吉林卫视,http://iptv.4666888.xyz/iptv2A.php?id=吉林卫视
贵州卫视,http://iptv.4666888.xyz/iptv2A.php?id=贵州卫视
甘肃卫视,http://iptv.4666888.xyz/iptv2A.php?id=甘肃卫视
青海卫视,http://iptv.4666888.xyz/iptv2A.php?id=青海卫视
陕西卫视,http://iptv.4666888.xyz/iptv2A.php?id=陕西卫视
云南卫视,http://iptv.4666888.xyz/iptv2A.php?id=云南卫视
山西卫视,http://iptv.4666888.xyz/iptv2A.php?id=山西卫视
黑龙江卫视,http://iptv.4666888.xyz/iptv2A.php?id=黑龙江卫视
西藏卫视,http://iptv.4666888.xyz/iptv2A.php?id=西藏卫视
内蒙古卫视,http://iptv.4666888.xyz/iptv2A.php?id=内蒙古卫视
宁夏卫视,http://iptv.4666888.xyz/iptv2A.php?id=宁夏卫视
新疆卫视,http://iptv.4666888.xyz/iptv2A.php?id=新疆卫视
兵团卫视,http://iptv.4666888.xyz/iptv2A.php?id=兵团卫视
海峡卫视,http://iptv.4666888.xyz/iptv2A.php?id=海峡卫视
厦门卫视,http://iptv.4666888.xyz/iptv2A.php?id=厦门卫视
三沙卫视,http://iptv.4666888.xyz/iptv2A.php?id=三沙卫视
康巴卫视,http://iptv.4666888.xyz/iptv2A.php?id=康巴卫视
山东教育卫视,http://test1.live.sdetv.com.cn/live/dianshizhibo/playlist.m3u8


港澳频道-,#genre#
凤凰中文,http://iptv.4666888.xyz/iptv2A.php?id=60
凤凰资讯,http://iptv.4666888.xyz/iptv2A.php?id=61
凤凰香港,http://iptv.4666888.xyz/iptv2A.php?id=62
TVB翡翠,http://iptv.4666888.xyz/iptv2A.php?id=63
TVB_PULS,http://iptv.4666888.xyz/iptv2A.php?id=64
TVB明珠,http://iptv.4666888.xyz/iptv2A.php?id=66
TVB无线新闻,http://iptv.4666888.xyz/iptv2A.php?id=65
TVB生活,http://iptv.4666888.xyz/iptv2A.php?id=67
TVB星河(粤),http://iptv.4666888.xyz/iptv2A.php?id=68
TVB星河(国),http://iptv.4666888.xyz/iptv2A.php?id=69
TVB武侠粤,http://iptv.4666888.xyz/iptv2A.php?id=9
TVB武侠国,http://iptv.4666888.xyz/iptv2A.php?id=10
TVB1,http://iptv.4666888.xyz/iptv2A.php?id=70
TVBJ1,http://iptv.4666888.xyz/iptv2A.php?id=71
TVBE,http://iptv.4666888.xyz/iptv2A.php?id=75
TVB翡翠剧集,http://iptv.4666888.xyz/iptv2A.php?id=72
TVB明珠剧集,http://iptv.4666888.xyz/iptv2A.php?id=73
TVB新闻娱乐,http://iptv.4666888.xyz/iptv2A.php?id=74
TVB千禧经典,http://iptv.4666888.xyz/iptv2A.php?id=76
TVB黄金华剧,http://iptv.4666888.xyz/iptv2A.php?id=80
Now新闻,http://iptv.4666888.xyz/iptv2A.php?id=81
Now财经,http://iptv.4666888.xyz/iptv2A.php?id=82
Now财经,http://iptv.4666888.xyz/iptv2A.php?id=83
Now华剧,http://iptv.4666888.xyz/iptv2A.php?id=84
VIU剧集,http://iptv.4666888.xyz/iptv2A.php?id=85
Now爆谷,http://iptv.4666888.xyz/iptv2A.php?id=6
Now星影,http://iptv.4666888.xyz/iptv2A.php?id=7
HOY76,http://iptv.4666888.xyz/iptv2A.php?id=87
HOY77,http://iptv.4666888.xyz/iptv2A.php?id=88
HOY78,http://iptv.4666888.xyz/iptv2A.php?id=89
VIUTV,http://iptv.4666888.xyz/iptv2A.php?id=90
viutv6,http://iptv.4666888.xyz/iptv2A.php?id=91
